Hospital,Sim City,Patients,Total Billed,Billed per Patient,Billed per Encounter,Encounters per Patient,Rank by Total,Rank by Cost per Patient
"HAZELWOOD FAMILY HEALTH CENTER (PITTSBURGH, PA)",PITTSBURGH,1729,11790471,6819,1764,3.9,536,432
"REFORMED PRESBYTERIAN HOME (PITTSBURGH, PA)",PITTSBURGH,1162,7915886,6812,3524,1.9,654,433
"KEY BISCAYNE MEDICAL CENTER INC (MIAMI, FL)",MIAMI,1658,11252094,6787,1515,4.5,551,434
"COMMUNITYCARE (AUSTIN, TX)",AUSTIN,6586,44616167,6774,2030,3.3,297,435
"THE WELLNESS PLAN-EAST AREA HEALTH CENTER (DETROIT, MI)",DETROIT,1865,12555098,6732,1715,3.9,517,436
"COVENANT COMMUNITY CARE  INC (DETROIT, MI)",DETROIT,2570,17273841,6721,2019,3.3,426,437
"BLUE ISLAND MEDICAL CENTER (BLUE ISLAND, IL)",CHICAGO,1389,9329843,6717,2141,3.1,601,438
"KINDRED HOSPICE (NASHVILLE, TN)",NASHVILLE,1104,7414424,6716,3615,1.9,671,439
"STO ROX FAMILY HLTH CTR (MC KEES ROCKS, PA)",PITTSBURGH,1694,11365657,6709,1606,4.2,547,440
"BERKELEY NURSING & REHAB CENTER (OAK PARK, IL)",CHICAGO,1581,10587428,6697,3200,2.1,574,441
"ERIE WESTSIDE FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,1750,11662880,6665,1854,3.6,540,442
"BUNCKE MEDICAL CLINIC INC. (SAN FRANCISCO, CA)",SAN FRANCISCO,1410,9388455,6658,1592,4.2,598,443
"WE CARE HOME HEALTH  INC (CHICAGO, IL)",CHICAGO,1190,7917172,6653,2517,2.6,653,444
"ERIE EVANSTON HEALTH CENTER (EVANSTON, IL)",CHICAGO,1009,6710864,6651,1758,3.8,695,445
"WEST END HLTH CTR (PITTSBURGH, PA)",PITTSBURGH,1400,9309472,6650,1374,4.8,604,446
"JIMENEZ MEDICAL CENTER  INC. (MIAMI, FL)",MIAMI,1076,7143017,6638,1490,4.5,681,447
"CONTINUUM CARE HOSPICE (PARMA, OH)",CLEVELAND,8620,57193970,6635,2999,2.2,272,448
"SUNCREST HOME HEALTH SERVICES (NASHVILLE, TN)",NASHVILLE,1447,9584727,6624,2295,2.9,594,449
"TAMPA INTERNIST PROFESSIONAL ASSOCIATE (TAMPA, FL)",TAMPA,1087,7145321,6573,1486,4.4,680,450
"CLEVELAND CLINIC HOSPICE (INDEPENDENCE, OH)",CLEVELAND,1133,7431089,6559,2647,2.5,670,451
"HARVARD STREET NEIGHBORHOOD HEALTH CENTER (DORCHESTER, MA)",BOSTON,2151,14078125,6545,1588,4.1,483,452
"SFHC SOUTHWEST FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,2725,17788469,6528,2037,3.2,420,453
"SELFHELP HOME OF CHICAGO (CHICAGO, IL)",CHICAGO,1704,11122621,6527,3136,2.1,556,454
"MILES SQUARE HEALTH CENTER (CHICAGO, IL)",CHICAGO,1024,6674311,6518,1372,4.8,697,455
"LINCOLN LEMINGTON FAMILY HEALTH CENTER (PITTSBURGH, PA)",PITTSBURGH,1662,10791842,6493,1501,4.3,567,456
"MENORAH PARK CENTER FOR SENIOR LIVING (BEACHWOOD, OH)",CLEVELAND,1916,12406403,6475,3164,2.0,520,457
"DCHC EASTSIDE HEALTH CENTER (DETROIT, MI)",DETROIT,1810,11672723,6449,1427,4.5,538,458
"BOSTON HOME  INC (THE) (BOSTON, MA)",BOSTON,2434,15685729,6444,3598,1.8,455,459
"CARE ALLIANCE (CLEVELAND, OH)",CLEVELAND,35455,227706296,6422,1470,4.4,114,460
"DEDHAM MEDICAL ASSOCIATES URGENT CARE CENTER LLC (NORWOOD, MA)",BOSTON,2485,15901099,6399,1075,6.0,449,461
"WESTPARK HEALTHCARE CAMPUS (CLEVELAND, OH)",CLEVELAND,6693,42727418,6384,2705,2.4,302,462
"CROSSROADS HOSPICE OF CLEVELAND  LLC (VALLEY VIEW, OH)",CLEVELAND,1722,10988860,6381,2531,2.5,560,463
"PACIFIC FAMILY PRACTICE MEDICAL GROUP A PROFESSIONAL CORPORATION (SAN FRANCISCO, CA)",SAN FRANCISCO,2242,14290745,6374,1529,4.2,480,464
"EAST END COMMUNITY HEALTH CENTER (PITTSBURGH, PA)",PITTSBURGH,1116,7104719,6366,1658,3.8,683,465
"PRECISION HEALTHCARE ASSOCIATES (SAN FRANCISCO, CA)",SAN FRANCISCO,2491,15855699,6365,1517,4.2,451,466
"EASTBROOK HEALTHCARE CENTER (CLEVELAND, OH)",CLEVELAND,2804,17816640,6354,2704,2.3,417,467
"WASATCH HOMELESS HEALTH CARE (SALT LAKE CITY, UT)",SALT LAKE CITY,1491,9458219,6344,1320,4.8,596,468
"SAN FRANCISCO MEDICAL CENTER OUTPATIENT IMPROVEMENT PROGRAMS  INC (SAN FRANCISCO, CA)",SAN FRANCISCO,12801,81194793,6343,1531,4.1,241,469
"PROMEDICA SKILLED NSG & REHAB GROSSE POINTE WOODS (GROSSE POINTE WOODS, MI)",DETROIT,1768,11204973,6338,2632,2.4,553,470
"WELLNESS CARE MEDICAL GROUP A PROFESSIONAL CORPORATION (SAN FRANCISCO, CA)",SAN FRANCISCO,3896,24633510,6323,1530,4.1,365,471
"SOUTHEAST CENTER (CLEVELAND, OH)",CLEVELAND,11329,71603531,6320,1335,4.7,252,472
"NORTH EAST MEDICAL SERVICES (SAN FRANCISCO, CA)",SAN FRANCISCO,28978,182923992,6313,1517,4.2,142,473
"GERALD FAMILY CARE (WASHINGTON, DC)",WASHINGTON DC,1105,6936841,6278,1451,4.3,685,474
"MISSION AREA HEALTH ASSOCIATES (SAN FRANCISCO, CA)",SAN FRANCISCO,5334,33479797,6277,1507,4.2,322,475
"MAIN STREET CLINIC (NASHVILLE, TN)",NASHVILLE,2670,16741832,6270,1744,3.6,433,476
"STRATEGIC WELLNESS INC (SAN FRANCISCO, CA)",SAN FRANCISCO,6059,37989513,6270,1511,4.2,318,477
"PARK VIEW REHAB CENTER (CHICAGO, IL)",CHICAGO,1465,9168703,6259,3206,2.0,610,478
"COLLINWOOD CENTER (CLEVELAND, OH)",CLEVELAND,14110,88291528,6257,1384,4.5,237,479
"NEIGHBORHOOD FAMILY PRACTICE (CLEVELAND, OH)",CLEVELAND,30426,189998186,6245,1307,4.8,137,480
"NORTHWESTERN CENTER (BEREA, OH)",CLEVELAND,1108,6912536,6239,2400,2.6,688,481
"COMPREHENSIVE HOME CARE INC. (CHICAGO, IL)",CHICAGO,1033,6433129,6228,2753,2.3,700,482
"BOOKER FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,1353,8418075,6222,2391,2.6,634,483
"AVENUE CARE AND REHABILITATION CENTER  THE (WARRENSVILLE HEIGHTS, OH)",CLEVELAND,2578,16026553,6217,2695,2.3,445,484
"LEONARD FLORENCE CENTER FOR LIVING (CHELSEA, MA)",BOSTON,1068,6623349,6202,3229,1.9,699,485
"BODY CONNECT HEALTH AND WELLNESS  LLC (WASHINGTON, DC)",WASHINGTON DC,3446,21311060,6184,1421,4.4,388,486
"MARIN CITY HEALTH AND WELLNESS CENTER (SAN FRANCISCO, CA)",SAN FRANCISCO,2033,12551362,6174,1494,4.1,518,487
"MARIN CITY HEALTH AND WELLNESS CENTER (SAUSALITO, CA)",SAN FRANCISCO,2155,13274951,6160,1486,4.1,499,488
"CAMBRIDGE REHABILITATION & NURSING CENTER (CAMBRIDGE, MA)",BOSTON,2488,15309454,6153,3310,1.9,464,489
"RS DAVIS HEALTH & WELLNESS LLC (WASHINGTON, DC)",WASHINGTON DC,1299,7980435,6144,1437,4.3,650,490
"PARKSIDE FAMILY MEDICAL GROUP APC (SAN FRANCISCO, CA)",SAN FRANCISCO,2141,13140708,6138,1494,4.1,500,491
"APPLE HOME HEALTHCARE (CHICAGO, IL)",CHICAGO,1632,10008849,6133,2880,2.1,586,492
"FOXHALL INTERNISTS PC (WASHINGTON, DC)",WASHINGTON DC,1374,8422514,6130,1439,4.3,633,493
"COMMUNITYCARE - MANOR (MANOR, TX)",AUSTIN,1723,10558370,6128,2235,2.7,575,494
"GLC WELLNESS CENTER CHICAGO (CHICAGO, IL)",CHICAGO,1040,6360806,6116,1362,4.5,703,495
"SUPERIOR CENTER (CLEVELAND, OH)",CLEVELAND,6560,40090245,6111,1688,3.6,308,496
"OPTION CARE (ITASCA, IL)",CHICAGO,1134,6904719,6089,2726,2.2,690,497
"ESPERANZA HOME HEALTH CARE  INC (ELMWOOD PARK, IL)",CHICAGO,1290,7791941,6040,2677,2.3,660,498
"HEALTHY HEARTS & WELLNESS LLC (CHICAGO, IL)",CHICAGO,2438,14706547,6032,1333,4.5,474,499
"EVANSTON ROGERS PARK FAMILY HEALTH CENTER (CHICAGO, IL)",CHICAGO,2449,14764641,6029,1370,4.4,473,500
"C C HOME HEALTH CENTRAL INC (AUSTIN, TX)",AUSTIN,1194,7166649,6002,2422,2.5,679,501
"PATRIOT URGENT CARE PROFESSIONALS PC (WALTHAM, MA)",BOSTON,2678,16070659,6001,1127,5.3,444,502
"UNITY HEALTH CARE INC (WASHINGTON, DC)",WASHINGTON DC,18287,109716025,6000,1402,4.3,202,503
"PRECISION IMMEDIATE CARE AND MEDICAL CENTER LLC (STONE PARK, IL)",CHICAGO,2700,16195480,5998,1345,4.5,442,504
"MISSION NEIGHBORHOOD HEALTH CENTER (SAN FRANCISCO, CA)",SAN FRANCISCO,1411,8460878,5996,1464,4.1,632,505
"MEDSTAR GEORGETOWN MEDICAL CENTER  INC (WASHINGTON, DC)",WASHINGTON DC,5316,31764757,5975,1392,4.3,332,506
"JENCARE NEIGHBORHOOD MEDICAL CENTER EVERGREEN PARK LLC (CHICAGO, IL)",CHICAGO,2037,12166592,5973,1346,4.4,526,507
"PHYSICIANS PREFERRED HOME CARE  INC (CHICAGO, IL)",CHICAGO,2616,15619264,5971,2459,2.4,459,508
"CHICAGO FAMILY HEALTH CENTER INC (CHICAGO, IL)",CHICAGO,1043,6221019,5965,1295,4.6,704,509
"RX HOME HEALTHCARE  INC (CLEVELAND, OH)",CLEVELAND,3645,21729814,5962,1591,3.7,383,510
"ASIAN AND PACIFIC ISLANDER WELLNESS CENTER  INC. (SAN FRANCISCO, CA)",SAN FRANCISCO,1214,7232133,5957,1432,4.2,675,511
"DIMOCK COMMUNITY HEALTH CENTER  INC (ROXBURY, MA)",BOSTON,2363,14074575,5956,1760,3.4,484,512
"HIGHLAND POINTE HEALTH & REHAB CENTER (HIGHLAND HEIGHTS, OH)",CLEVELAND,1069,6361993,5951,2207,2.7,702,513
"SOME INC (WASHINGTON, DC)",WASHINGTON DC,1525,9065507,5945,1389,4.3,615,514
"CAPITAL INTERNAL MEDICINE & GERIATRICS LLC (WASHINGTON, DC)",WASHINGTON DC,1879,11169389,5944,1377,4.3,554,515
"BEREA CENTER (BEREA, OH)",CLEVELAND,3109,18457097,5937,2382,2.5,410,516
"FAMILY ELDERCARE  INC. (AUSTIN, TX)",AUSTIN,1620,9616781,5936,1329,4.5,593,517
"MARYS CENTER FOR MATERNAL & CHILD CARE (WASHINGTON, DC)",WASHINGTON DC,1477,8764220,5934,1407,4.2,622,518
"ACCESS COMMUNITY HEALTH NETWORK (CHICAGO, IL)",CHICAGO,3519,20862815,5929,1303,4.6,392,519
"CAPITOL HILL COMMUNITY HEALTH CENTER (WASHINGTON, DC)",WASHINGTON DC,1332,7882389,5918,1375,4.3,655,520
"PREMIER PRIMARY CARE AND ALTERNATIVE MEDICINE (CHICAGO, IL)",CHICAGO,1595,9431369,5913,1313,4.5,597,521
"PRESTIGE HEALTHCARE RESOURCES INC (WASHINGTON, DC)",WASHINGTON DC,1155,6829536,5913,1379,4.3,692,522
"KIMBALL MEDICAL CENTER SC (CHICAGO, IL)",CHICAGO,2458,14511164,5904,1296,4.6,476,523
"JNN INTERNAL MEDICINE  SC (DES PLAINES, IL)",CHICAGO,2153,12703581,5900,1293,4.6,514,524
"WELLMAX MEDICAL CENTER INC (CHICAGO, IL)",CHICAGO,1669,9844959,5899,1341,4.4,588,525
"RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER (ROSLINDALE, MA)",BOSTON,1395,8214463,5889,3050,1.9,643,526
"POWERS FAMILY WELLNESS PLLC (AUSTIN, TX)",AUSTIN,1409,8294454,5887,1343,4.4,640,527
"ENDEAVOR CLINICAL HEALTHCARE SERVICES (CHICAGO, IL)",CHICAGO,1770,10416819,5885,1327,4.4,577,528
"WATERFORD CARE CENTER  THE (CHICAGO, IL)",CHICAGO,1396,8214543,5884,2815,2.1,642,529
"PRUDENT ALLIANCE FOR HEALTHCARE LLC (CHICAGO, IL)",CHICAGO,1765,10370139,5875,1309,4.5,578,530
"PRESENCE RESURRECTION MEDICAL CENTER (CHICAGO, IL)",CHICAGO,2103,12350917,5873,1320,4.5,523,531
"PRIMECARE FAMILY PHYSICIANS  LTD (CHICAGO, IL)",CHICAGO,4242,24856840,5860,1310,4.5,362,532
"EAST CLEVELAND HEALTH CENTER (EAST CLEVELAND, OH)",CLEVELAND,5505,32224508,5854,1721,3.4,329,533
"HEARTLAND INTERNATIONAL HEALTH CENTER (CHICAGO, IL)",CHICAGO,7470,43710163,5851,1303,4.5,299,534
"KHUDEIRA MEDICAL CENTER INC (CHICAGO, IL)",CHICAGO,1333,7799521,5851,1287,4.5,659,535
"DOWNTOWN MEDICAL CLINIC (NASHVILLE, TN)",NASHVILLE,1987,11607719,5842,1836,3.2,542,536
"MEDICAL CARE SERVICES LLC (CHICAGO, IL)",CHICAGO,1168,6823039,5842,1306,4.5,693,537
"PRIMARY CARE AT HOME (WASHINGTON, DC)",WASHINGTON DC,1372,8014446,5841,1370,4.3,648,538
"SA PADUA MEDICAL CENTER  LLC (BLUE ISLAND, IL)",CHICAGO,1178,6875949,5837,1283,4.5,691,539
"NEW LIVING HEALTHCARE SERVICES LLC (WASHINGTON, DC)",WASHINGTON DC,1547,9019215,5830,1363,4.3,618,540
"DELTA HEALTHCARE INC (CHICAGO, IL)",CHICAGO,1462,8521110,5828,1277,4.6,629,541
"KOOSHA MEDICAL CENTER P C (CHICAGO, IL)",CHICAGO,1567,9124878,5823,1302,4.5,612,542
"SOUTH COVE COMMUNITY HEALTH CENTER  INC (BOSTON, MA)",BOSTON,1660,9664685,5822,2486,2.3,591,543
"WILKES WELLNESS SERVICES INC (CHICAGO, IL)",CHICAGO,1363,7930505,5818,1286,4.5,651,544
"HEALTHWISE MEDICAL CLINIC LLC (CHICAGO, IL)",CHICAGO,1474,8559018,5807,1288,4.5,628,545
"INFORME HEALTHCARE IL LLC (CHICAGO, IL)",CHICAGO,1447,8402103,5807,1292,4.5,635,546
"INNER-CITY MUSLIM ACTION NETWORK (CHICAGO, IL)",CHICAGO,1194,6928068,5802,1315,4.4,686,547
"NORWOOD CENTER (CLEVELAND, OH)",CLEVELAND,4664,26954250,5779,1394,4.1,351,548
"ERIE FAMILY HEALTH CENTER INC (CHICAGO, IL)",CHICAGO,5738,33136205,5775,1285,4.5,325,549
"NEAR NORTH HEALTH SERVICE CORPORATION (CHICAGO, IL)",CHICAGO,4556,26296786,5772,1298,4.4,354,550
"CENTRAL TEXAS COMMUNITY HEALTH CENTERS (BUDA, TX)",AUSTIN,1688,9741672,5771,1319,4.4,590,551
"VIRGINIA PARK INTERNAL MEDICINE PC (DETROIT, MI)",DETROIT,1260,7264532,5766,1261,4.6,674,552
"HEALTHY CHICAGO PRIMARY CARE PLLC (CHICAGO, IL)",CHICAGO,2449,14109878,5761,1278,4.5,482,553
"NORTH SIDE CHRISTIAN HEALTH CENTER (PITTSBURGH, PA)",PITTSBURGH,1937,11156357,5760,1301,4.4,555,554
"SPECIALIZED HEALTHCARE SERVICES INC (CHICAGO, IL)",CHICAGO,1628,9375001,5759,1251,4.6,600,555
"HIGHER GROUND WELLNESS GROUP LTD (CHICAGO, IL)",CHICAGO,3076,17708478,5757,1286,4.5,421,556
"VANGUARD FAMILY HEALTH CARE PC (DETROIT, MI)",DETROIT,1359,7823643,5757,1283,4.5,657,557
"HOWARD BROWN HEALTH CENTER (CHICAGO, IL)",CHICAGO,10196,58648198,5752,1285,4.5,270,558
"ALPHA AND OMEGA PRIMARY HEALTH CARE INC (DETROIT, MI)",DETROIT,1454,8356117,5747,1250,4.6,638,559
"ESPERANZA HEALTH CENTERS (CHICAGO, IL)",CHICAGO,2841,16309827,5741,1268,4.5,439,560
"MAASAL MEDICAL CENTER INC (CHICAGO, IL)",CHICAGO,1170,6698198,5725,1300,4.4,696,561
"FRIEND FAMILY HEALTH CENTER INC (CHICAGO, IL)",CHICAGO,5328,30477164,5720,1284,4.5,335,562
"HAMDARD CENTER FOR HEALTH AND HUMAN SERVICES  NFP (BENSENVILLE, IL)",CHICAGO,1367,7815434,5717,1253,4.6,658,563
"EQUILIBRIUM HEALTH AND WELLNESS LLC (CHICAGO, IL)",CHICAGO,2689,15368980,5716,1260,4.5,461,564
"CARDIO CARE INC. (CHICAGO, IL)",CHICAGO,1565,8925974,5703,2766,2.1,619,565
"PARMA CARE CENTER (PARMA, OH)",CLEVELAND,2567,14625909,5698,2527,2.3,475,566
"SEASONS OF CARE HEALTH SERVICES  LLC (MIDDLEBURG HEIGHTS, OH)",CLEVELAND,2297,13085077,5697,2153,2.6,504,567
"RIVER CITY WELLNESS (AUSTIN, TX)",AUSTIN,1923,10942181,5690,1280,4.4,562,568
"YIGAZU WELLNESS CLINIC S C (CHICAGO, IL)",CHICAGO,2691,15310311,5689,1266,4.5,463,569
"INTEGRATED HEALTH & WELLNESS CENTER LLC (REDFORD, MI)",DETROIT,2132,12124379,5687,1263,4.5,528,570
"FREEMAN MEDICAL CLINIC  PLLC (AUSTIN, TX)",AUSTIN,1255,7128517,5680,1303,4.4,682,571
"HEARTLAND ALLIANCE HEALTH (CHICAGO, IL)",CHICAGO,1593,9048359,5680,1275,4.5,616,572
"ALIVIO MEDICAL CENTER INC. (CHICAGO, IL)",CHICAGO,1726,9789094,5672,1260,4.5,589,573
"UNIVERSITY ASSOCIATES IN INTERNAL MEDICINE SC (CHICAGO, IL)",CHICAGO,6762,38303342,5664,1268,4.5,315,574
"ATTUNED PRIMARY CARE LLC (ROSEMONT, IL)",CHICAGO,5274,29856619,5661,1259,4.5,340,575
"ASSOCIATES HOME HEALTH  INC (DES PLAINES, IL)",CHICAGO,2423,13712063,5659,2672,2.1,491,576
"COVENANT COMMUNITY CARE  INC. (DETROIT, MI)",DETROIT,1621,9170327,5657,1224,4.6,609,577
"LAWNDALE CHRISTIAN HEALTH CENTER (CHICAGO, IL)",CHICAGO,3415,19316882,5656,1252,4.5,403,578
"AMEDISYS HOME HEALTH (NASHVILLE, TN)",NASHVILLE,1821,10298590,5655,1886,3.0,580,579
"FAMILY DOCTORS-FAMILY HEALTH CARE S.C. (CHICAGO, IL)",CHICAGO,1402,7924819,5653,1241,4.6,652,580
"PRIMECARE COMMUNITY HEALTH  INC. (CHICAGO, IL)",CHICAGO,3533,19967022,5652,1277,4.4,396,581
"CARNEGIE HEALTH & WELLNESS CENTER (CARNEGIE, PA)",PITTSBURGH,1353,7645588,5651,1292,4.4,664,582
"ALLERGY & IMMUNOLOGY MEDICAL CENTER LLC (AUSTIN, TX)",AUSTIN,3049,17227634,5650,1288,4.4,427,583
"CRESTMONT NORTH NURSING HOME (LAKEWOOD, OH)",CLEVELAND,6761,38193681,5649,2233,2.5,317,584
"LYNN URGENT CARE LLC (LYNN, MA)",BOSTON,5123,28937115,5648,1066,5.3,342,585
"REGENERATE AUSTIN WELLNESS PLLC (WEST LAKE HILLS, TX)",AUSTIN,2290,12923840,5644,1299,4.3,507,586
"FAMILY CARE PARTNERS INC (CHICAGO, IL)",CHICAGO,1041,5874897,5644,1262,4.5,711,587
"LONE STAR CIRCLE OF CARE (CEDAR PARK, TX)",AUSTIN,1030,5810026,5641,1277,4.4,718,588
"WINNEBAGO TRIBE OF NEBRASKA (WINNEBAGO, TX)",AUSTIN,1885,10628678,5639,1283,4.4,572,589
"HOLY FAMILY HOME HEALTH CARE (PARMA, OH)",CLEVELAND,2493,14056168,5638,2118,2.7,485,590
"PROPER BALANCE HEALTHCARE (CHICAGO, IL)",CHICAGO,1426,8028433,5630,1265,4.4,647,591
"CENTRAL TEXAS COMMUNITY HEALTH CENTERS (AUSTIN, TX)",AUSTIN,8526,47993177,5629,1291,4.4,291,592
"BODY WORKS HEALTH & WELLNESS LLC (CHICAGO, IL)",CHICAGO,1036,5827856,5625,1226,4.6,717,593
"WELSH HOME THE (ROCKY RIVER, OH)",CLEVELAND,2804,15769369,5624,2379,2.4,452,594
"DETROIT HEALTH CARE FOR THE HOMELESS (DETROIT, MI)",DETROIT,3862,21706810,5621,1238,4.5,385,595
"LONE STAR CIRCLE OF CARE (ROUND ROCK, TX)",AUSTIN,2183,12263033,5618,1288,4.4,524,596
"NORTH AUSTIN FAMILY MEDICINE  PA (AUSTIN, TX)",AUSTIN,1937,10859826,5607,1280,4.4,564,597
"PCC COMMUNITY WELLNESS CENTER (CHICAGO, IL)",CHICAGO,2804,15711762,5603,1241,4.5,454,598
"TEXAS MEDICAL WELLNESS CENTER PLLC (AUSTIN, TX)",AUSTIN,4038,22586141,5593,1271,4.4,378,599
"620 WELLNESS CENTER (LAKEWAY, TX)",AUSTIN,5066,28324301,5591,1291,4.3,346,600
"NGU MD. WELLNESS LTD. (CHICAGO, IL)",CHICAGO,5114,28578272,5588,1256,4.4,345,601
"WEST SUBURBAN FAMILY PRACTICE ASSOCIATES LTD. (ELMWOOD PARK, IL)",CHICAGO,1496,8350736,5582,1263,4.4,639,602
"SHEILA SHUNG MD PLLC INTERNAL MEDICINE (AUSTIN, TX)",AUSTIN,1029,5743794,5582,1281,4.4,720,603
"HIGHLAND PARK MEDICAL CENTER  PLLC (HIGHLAND PARK, MI)",DETROIT,1097,6118517,5577,1200,4.6,705,604
"HALLMARK HEALTH URGENT CARE PHYSICIANS LLC (READING, MA)",BOSTON,1457,8122091,5575,1013,5.5,645,605
"VNA HEALTH CARE (BENSENVILLE, IL)",CHICAGO,3645,20264094,5559,1251,4.4,394,606
"LONE STAR CIRCLE OF CARE (JONESTOWN, TX)",AUSTIN,1067,5923230,5551,1246,4.5,710,607
"FAMILY WINGS CONSULTING  LLC (MANCHACA, TX)",AUSTIN,2300,12759685,5548,1277,4.3,513,608
"KATZMAN FAMILY CENTER FOR LIVING (CHELSEA, MA)",BOSTON,1440,7982202,5543,2976,1.9,649,609
"SENIOR ADULTS SPECIALTY HEALTHCARE PA (AUSTIN, TX)",AUSTIN,1451,8040244,5541,1277,4.3,646,610
"BROOKDALE HOME HEALTH CLEVELAND (BROOKLYN HEIGHTS, OH)",CLEVELAND,4976,27494612,5525,1848,3.0,349,611
"GLC WELLNESS CENTER AUSTIN (DEL VALLE, TX)",AUSTIN,3809,21042943,5525,1258,4.4,390,612
"GOLD COAST WELLNESS CENTER LTD. (CHICAGO, IL)",CHICAGO,2834,15655586,5524,1230,4.5,456,613
"SPS FAMILY CARE  S.C. (CHICAGO, IL)",CHICAGO,1018,5617699,5518,1200,4.6,722,614
"NORTH PENN COMPREHENSIVE HEALTH SERVICES (LAWRENCEVILLE, PA)",PITTSBURGH,1545,8490190,5495,1225,4.5,630,615
"FAMILYLINKS  INC (PITTSBURGH, PA)",PITTSBURGH,1384,7585514,5481,1224,4.5,669,616
"INSTITUTE FOR POPULATION HEALTH INC. (DETROIT, MI)",DETROIT,2517,13789305,5478,1211,4.5,490,617
"WILKES WELLNESS SERVICES LLC (CHICAGO, IL)",CHICAGO,1431,7833779,5474,1248,4.4,656,618
"DETROIT COMMUNITY HEALTH CONNECTION  INC (DETROIT, MI)",DETROIT,1715,9382175,5471,1211,4.5,599,619
"ELMWOOD PARK MEDICAL CLINIC PC (DETROIT, MI)",DETROIT,1870,10225817,5468,1191,4.6,583,620
"BRIGHTON PRIMARY CARE L L C (DETROIT, MI)",DETROIT,1660,9076937,5468,1206,4.5,614,621
"HEALTH CENTERS DETROIT FOUNDATION INC (DETROIT, MI)",DETROIT,1073,5866952,5468,1173,4.7,713,622
"PEOPLES COMMUNITY CLINIC INC (AUSTIN, TX)",AUSTIN,5869,32059917,5463,1254,4.4,330,623
"AFFAS INTERNAL MEDICINE PLLC (DETROIT, MI)",DETROIT,1266,6905089,5454,1195,4.6,689,624
"MATTAPAN COMMUNITY HEALTH CENTER (MATTAPAN, MA)",BOSTON,1891,10302885,5448,2252,2.4,579,625
"STO-ROX NEIGHBORHOOD HEALTH COUNCIL  INC. (PITTSBURGH, PA)",PITTSBURGH,1238,6730110,5436,1200,4.5,694,626
"LONE STAR CIRCLE OF CARE (AUSTIN, TX)",AUSTIN,1082,5874406,5429,1229,4.4,712,627
"LOPEZ WELLNESS CENTER LLC (AUSTIN, TX)",AUSTIN,2166,11759307,5429,1245,4.4,537,628
"MIDTOWN MEDICAL CENTER (CHICAGO, IL)",CHICAGO,1182,6410430,5423,1218,4.5,701,629
"SUSAN RICE DO FRANK LANZILOTE DO FAMILY PRACTICE PC (DETROIT, MI)",DETROIT,1836,9950005,5419,1195,4.5,587,630
"ALSAN MEDICAL CLINIC PC (DETROIT, MI)",DETROIT,1594,8625843,5411,1210,4.5,624,631
"UNIVERSITY HOSPITAL HOME CARE SERVICES  INC (WARRENSVILLE HEIGHTS, OH)",CLEVELAND,1375,7403669,5384,1983,2.7,672,632
"OUTREACH HOME HEALTH SERVICES (CLEVELAND, OH)",CLEVELAND,5386,28901969,5366,2165,2.5,343,633
"PEFHA HEALTH & WELLNESS CENTER (PITTSBURGH, PA)",PITTSBURGH,1304,6996153,5365,1223,4.4,684,634
"EAGLE HOME HEALTHCARE (CLEVELAND, OH)",CLEVELAND,4487,23962910,5341,2073,2.6,370,635
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER  INC (DETROIT, MI)",DETROIT,2255,12041457,5340,1186,4.5,530,636
"COMMUNITY HEALTH CENTERS INC. (WEST VALLEY CITY, UT)",SALT LAKE CITY,2071,11037734,5330,1177,4.5,558,637
"OTERO MEDICAL CENTER SC (CHICAGO, IL)",CHICAGO,1048,5549334,5295,1195,4.4,725,638
"CARECENTRAL URGENT CARE MEDICAL GROUP PC (STOUGHTON, MA)",BOSTON,1441,7623228,5290,1097,4.8,666,639
"WILLCARE (EUCLID, OH)",CLEVELAND,3680,19459849,5288,2253,2.3,402,640
"FAMILY HEALTH CENTER OF ASHLAND CITY  PLLC (ASHLAND CITY, TN)",NASHVILLE,2219,11663387,5256,1184,4.4,539,641
"WILLOWS HEALTH AND REHAB CTR (EUCLID, OH)",CLEVELAND,7354,38507995,5236,2254,2.3,313,642
"PROTEM HOMECARE (SHAKER HEIGHTS, OH)",CLEVELAND,5666,29659244,5235,2156,2.4,341,643
"WISEMAN FAMILY PRACTICE PLLC (CEDAR PARK, TX)",AUSTIN,1324,6925482,5231,1191,4.4,687,644
"CHELSEA JEWISH VISITING NURSE AGENCY (CHELSEA, MA)",BOSTON,1032,5360347,5194,2455,2.1,728,645
"NOVO HEALTHCARE  LLC (MADISON, TN)",NASHVILLE,1075,5573623,5185,1161,4.5,723,646
"DREAS HEALTHCARE SERVICES LLC (NORTH OLMSTED, OH)",CLEVELAND,1007,5209373,5173,1173,4.4,730,647
"EAST-WEST FAMILY CARE PC (NASHVILLE, TN)",NASHVILLE,1850,9532751,5153,1149,4.5,595,648
"CLARK FAMILY PRACTICE  PLLC (NASHVILLE, TN)",NASHVILLE,1410,7204444,5110,1172,4.4,677,649
"LIHAI MEDICAL CLINIC INC (SALT LAKE CITY, UT)",SALT LAKE CITY,2752,14056104,5108,1128,4.5,486,650
