Hospital,Patients,Visits,Actual cost per visit,Cost per visit if all prices were equal,"% of it that is pricing, not case mix"
"INNER-CITY MUSLIM ACTION NETWORK (CHICAGO, IL)",1194,5268,1315,1256,4.5
"PREMIER PRIMARY CARE AND ALTERNATIVE MEDICINE (CHICAGO, IL)",1595,7183,1313,1267,3.5
"SPORT ORTHO URGENT CARE PC (NASHVILLE, TN)",7105,38886,1312,1348,-2.7
"PRIMECARE FAMILY PHYSICIANS  LTD (CHICAGO, IL)",4242,18968,1310,1249,4.7
"PRUDENT ALLIANCE FOR HEALTHCARE LLC (CHICAGO, IL)",1765,7923,1309,1255,4.1
"NEIGHBORHOOD FAMILY PRACTICE (CLEVELAND, OH)",30426,145378,1307,1496,-14.5
"MEDICAL CARE SERVICES LLC (CHICAGO, IL)",1168,5224,1306,1232,5.7
"VOLUNTEER STATE URGENT CARE  PC (NASHVILLE, TN)",2726,16016,1303,1334,-2.4
"FREEMAN MEDICAL CLINIC  PLLC (AUSTIN, TX)",1255,5471,1303,1215,6.7
"ACCESS COMMUNITY HEALTH NETWORK (CHICAGO, IL)",3519,16012,1303,1259,3.4
"HEARTLAND INTERNATIONAL HEALTH CENTER (CHICAGO, IL)",7470,33548,1303,1250,4.1
"KOOSHA MEDICAL CENTER P C (CHICAGO, IL)",1567,7007,1302,1260,3.2
"NORTH SIDE CHRISTIAN HEALTH CENTER (PITTSBURGH, PA)",1937,8575,1301,1311,-0.8
"MAASAL MEDICAL CENTER INC (CHICAGO, IL)",1170,5154,1300,1246,4.1
"REGENERATE AUSTIN WELLNESS PLLC (WEST LAKE HILLS, TX)",2290,9949,1299,1211,6.8
"NEAR NORTH HEALTH SERVICE CORPORATION (CHICAGO, IL)",4556,20258,1298,1245,4.1
"KIMBALL MEDICAL CENTER SC (CHICAGO, IL)",2458,11194,1296,1234,4.8
"CHICAGO FAMILY HEALTH CENTER INC (CHICAGO, IL)",1043,4805,1295,1251,3.4
"JNN INTERNAL MEDICINE  SC (DES PLAINES, IL)",2153,9822,1293,1254,3.0
"CARNEGIE HEALTH & WELLNESS CENTER (CARNEGIE, PA)",1353,5918,1292,1311,-1.5
"INFORME HEALTHCARE IL LLC (CHICAGO, IL)",1447,6505,1292,1251,3.2
"CENTRAL TEXAS COMMUNITY HEALTH CENTERS (AUSTIN, TX)",8526,37161,1291,1203,6.8
"620 WELLNESS CENTER (LAKEWAY, TX)",5066,21938,1291,1196,7.4
"ALLERGY & IMMUNOLOGY MEDICAL CENTER LLC (AUSTIN, TX)",3049,13376,1288,1197,7.0
"LONE STAR CIRCLE OF CARE (ROUND ROCK, TX)",2183,9523,1288,1197,7.0
"HEALTHWISE MEDICAL CLINIC LLC (CHICAGO, IL)",1474,6647,1288,1240,3.7
"KHUDEIRA MEDICAL CENTER INC (CHICAGO, IL)",1333,6060,1287,1245,3.3
"HIGHER GROUND WELLNESS GROUP LTD (CHICAGO, IL)",3076,13772,1286,1233,4.1
"WILKES WELLNESS SERVICES INC (CHICAGO, IL)",1363,6168,1286,1232,4.2
"ERIE FAMILY HEALTH CENTER INC (CHICAGO, IL)",5738,25777,1285,1232,4.2
"HARPER WOODS URGENT CARE AND MEDICAL CENTER PLLC (HARPER WOODS, MI)",1592,11198,1285,1335,-3.9
"HOWARD BROWN HEALTH CENTER (CHICAGO, IL)",10196,45648,1285,1239,3.6
"FRIEND FAMILY HEALTH CENTER INC (CHICAGO, IL)",5328,23743,1284,1230,4.2
"SA PADUA MEDICAL CENTER  LLC (BLUE ISLAND, IL)",1178,5358,1283,1242,3.2
"VANGUARD FAMILY HEALTH CARE PC (DETROIT, MI)",1359,6097,1283,1275,0.6
"WINNEBAGO TRIBE OF NEBRASKA (WINNEBAGO, TX)",1885,8286,1283,1191,7.2
"SHEILA SHUNG MD PLLC INTERNAL MEDICINE (AUSTIN, TX)",1029,4485,1281,1190,7.1
"RIVER CITY WELLNESS (AUSTIN, TX)",1923,8550,1280,1189,7.1
"NORTH AUSTIN FAMILY MEDICINE  PA (AUSTIN, TX)",1937,8487,1280,1190,7.0
"VERNOR URGENT CARE PLLC (DETROIT, MI)",2246,15337,1279,1334,-4.3
"HEALTHY CHICAGO PRIMARY CARE PLLC (CHICAGO, IL)",2449,11041,1278,1226,4.0
"LONE STAR CIRCLE OF CARE (CEDAR PARK, TX)",1030,4548,1277,1193,6.6
"FAMILY WINGS CONSULTING  LLC (MANCHACA, TX)",2300,9989,1277,1183,7.4
"DELTA HEALTHCARE INC (CHICAGO, IL)",1462,6671,1277,1222,4.4
"SENIOR ADULTS SPECIALTY HEALTHCARE PA (AUSTIN, TX)",1451,6297,1277,1188,6.9
"PRIMECARE COMMUNITY HEALTH  INC. (CHICAGO, IL)",3533,15640,1277,1230,3.7
"HEARTLAND ALLIANCE HEALTH (CHICAGO, IL)",1593,7095,1275,1242,2.6
"TEXAS MEDICAL WELLNESS CENTER PLLC (AUSTIN, TX)",4038,17767,1271,1178,7.3
"WOODLAND URGENT CARE LLC (DETROIT, MI)",2151,14211,1269,1325,-4.4
"UNIVERSITY ASSOCIATES IN INTERNAL MEDICINE SC (CHICAGO, IL)",6762,30199,1268,1220,3.8
"ESPERANZA HEALTH CENTERS (CHICAGO, IL)",2841,12859,1268,1218,4.0
"YIGAZU WELLNESS CLINIC S C (CHICAGO, IL)",2691,12094,1266,1224,3.3
"PROPER BALANCE HEALTHCARE (CHICAGO, IL)",1426,6345,1265,1221,3.5
"MAXCARE URGENT CARE PC (HAMTRAMCK, MI)",1413,9424,1265,1320,-4.3
"WEST SUBURBAN FAMILY PRACTICE ASSOCIATES LTD. (ELMWOOD PARK, IL)",1496,6611,1263,1208,4.4
"INTEGRATED HEALTH & WELLNESS CENTER LLC (REDFORD, MI)",2132,9602,1263,1265,-0.2
"FAMILY CARE PARTNERS INC (CHICAGO, IL)",1041,4657,1262,1205,4.5
"VIRGINIA PARK INTERNAL MEDICINE PC (DETROIT, MI)",1260,5759,1261,1267,-0.4
"EQUILIBRIUM HEALTH AND WELLNESS LLC (CHICAGO, IL)",2689,12194,1260,1216,3.6
"ALIVIO MEDICAL CENTER INC. (CHICAGO, IL)",1726,7770,1260,1207,4.2
"ATTUNED PRIMARY CARE LLC (ROSEMONT, IL)",5274,23707,1259,1217,3.4
"GLC WELLNESS CENTER AUSTIN (DEL VALLE, TX)",3809,16729,1258,1162,7.7
"NGU MD. WELLNESS LTD. (CHICAGO, IL)",5114,22746,1256,1205,4.1
"PEOPLES COMMUNITY CLINIC INC (AUSTIN, TX)",5869,25561,1254,1167,7.0
"HAMDARD CENTER FOR HEALTH AND HUMAN SERVICES  NFP (BENSENVILLE, IL)",1367,6235,1253,1205,3.9
"LAWNDALE CHRISTIAN HEALTH CENTER (CHICAGO, IL)",3415,15429,1252,1213,3.1
"VNA HEALTH CARE (BENSENVILLE, IL)",3645,16198,1251,1198,4.3
"SPECIALIZED HEALTHCARE SERVICES INC (CHICAGO, IL)",1628,7494,1251,1208,3.4
"ALPHA AND OMEGA PRIMARY HEALTH CARE INC (DETROIT, MI)",1454,6687,1250,1263,-1.1
"WILKES WELLNESS SERVICES LLC (CHICAGO, IL)",1431,6278,1248,1203,3.6
"LONE STAR CIRCLE OF CARE (JONESTOWN, TX)",1067,4755,1246,1162,6.7
"LOPEZ WELLNESS CENTER LLC (AUSTIN, TX)",2166,9445,1245,1165,6.4
"PCC COMMUNITY WELLNESS CENTER (CHICAGO, IL)",2804,12658,1241,1188,4.3
"FAMILY DOCTORS-FAMILY HEALTH CARE S.C. (CHICAGO, IL)",1402,6388,1241,1190,4.1
"DETROIT HEALTH CARE FOR THE HOMELESS (DETROIT, MI)",3862,17531,1238,1252,-1.1
"GOLD COAST WELLNESS CENTER LTD. (CHICAGO, IL)",2834,12723,1230,1180,4.1
"LONE STAR CIRCLE OF CARE (AUSTIN, TX)",1082,4780,1229,1144,6.9
"FIRST URGENT CARE INC (PARMA, OH)",18124,126545,1227,1420,-15.8
"BODY WORKS HEALTH & WELLNESS LLC (CHICAGO, IL)",1036,4752,1226,1174,4.3
"NORTH PENN COMPREHENSIVE HEALTH SERVICES (LAWRENCEVILLE, PA)",1545,6929,1225,1254,-2.4
"FAMILYLINKS  INC (PITTSBURGH, PA)",1384,6195,1224,1260,-2.9
"COVENANT COMMUNITY CARE  INC. (DETROIT, MI)",1621,7495,1224,1228,-0.4
"PEFHA HEALTH & WELLNESS CENTER (PITTSBURGH, PA)",1304,5721,1223,1261,-3.2
"MIDTOWN MEDICAL CENTER (CHICAGO, IL)",1182,5261,1218,1172,3.8
"DETROIT COMMUNITY HEALTH CONNECTION  INC (DETROIT, MI)",1715,7747,1211,1227,-1.3
"INSTITUTE FOR POPULATION HEALTH INC. (DETROIT, MI)",2517,11387,1211,1232,-1.7
"ALSAN MEDICAL CLINIC PC (DETROIT, MI)",1594,7127,1210,1235,-2.1
"NORTH OLMSTED URGENT CARE LLC (NORTH OLMSTED, OH)",1405,9391,1208,1413,-16.9
"BRIGHTON PRIMARY CARE L L C (DETROIT, MI)",1660,7528,1206,1227,-1.8
"SPS FAMILY CARE  S.C. (CHICAGO, IL)",1018,4681,1200,1173,2.3
"STO-ROX NEIGHBORHOOD HEALTH COUNCIL  INC. (PITTSBURGH, PA)",1238,5609,1200,1212,-1.0
"HIGHLAND PARK MEDICAL CENTER  PLLC (HIGHLAND PARK, MI)",1097,5100,1200,1219,-1.6
"OTERO MEDICAL CENTER SC (CHICAGO, IL)",1048,4642,1195,1151,3.7
"SUSAN RICE DO FRANK LANZILOTE DO FAMILY PRACTICE PC (DETROIT, MI)",1836,8325,1195,1210,-1.2
"AFFAS INTERNAL MEDICINE PLLC (DETROIT, MI)",1266,5780,1195,1217,-1.9
"CLEVELAND URGENT CARE LLC (CLEVELAND, OH)",48964,345013,1194,1385,-16.0
"ROCKY RIVER URGENT CARE  INC. (ROCKY RIVER, OH)",7320,49932,1194,1385,-16.0
"WISEMAN FAMILY PRACTICE PLLC (CEDAR PARK, TX)",1324,5815,1191,1123,5.7
"ELMWOOD PARK MEDICAL CLINIC PC (DETROIT, MI)",1870,8587,1191,1212,-1.8
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER  INC (DETROIT, MI)",2255,10155,1186,1212,-2.2
"FAMILY HEALTH CENTER OF ASHLAND CITY  PLLC (ASHLAND CITY, TN)",2219,9850,1184,1245,-5.2
"RIDGE PARK URGENT CARE LLC (STRONGSVILLE, OH)",2432,16340,1180,1369,-15.9
"COMMUNITY HEALTH CENTERS INC. (WEST VALLEY CITY, UT)",2071,9375,1177,1190,-1.1
"HEALTH EXPRESS URGENT CARE CENTERS LLC (CLEVELAND, OH)",16419,117500,1176,1365,-16.0
"MANET COMMUNITY HEALTH CENTER  INC. (QUINCY, MA)",1199,5072,1173,1341,-14.2
"DREAS HEALTHCARE SERVICES LLC (NORTH OLMSTED, OH)",1007,4440,1173,1339,-14.2
"HEALTH CENTERS DETROIT FOUNDATION INC (DETROIT, MI)",1073,5001,1173,1183,-0.8
"CLARK FAMILY PRACTICE  PLLC (NASHVILLE, TN)",1410,6145,1172,1249,-6.5
"PERSONAL PHYSICIANS HEALTHCARE PC (CHESTNUT HILL, MA)",1124,4760,1170,1344,-14.9
"NOVO HEALTHCARE  LLC (MADISON, TN)",1075,4799,1161,1229,-5.9
"PRO HEALTH COLUMBIA (FRANKLIN, TN)",1650,7245,1159,1229,-6.0
"ALANA HEALTHCARE INFUSION CENTERS  LLC (NASHVILLE, TN)",1459,6334,1159,1231,-6.3
"SUMMIT PRIMARY CARE (HERMITAGE, TN)",1116,4896,1154,1211,-5.0
"EAST-WEST FAMILY CARE PC (NASHVILLE, TN)",1850,8295,1149,1231,-7.1
"HARMONY FAMILY HEALTH CARE COMPANY (NASHVILLE, TN)",2062,8972,1145,1219,-6.5
"SOUTHSIDE WELLNESS CENTER LTD (PARMA, OH)",6427,28659,1142,1305,-14.3
"GRACE-FULL HEALTHCARE (NASHVILLE, TN)",2531,11133,1138,1212,-6.5
"WATSON PRIMARY CARE  PLLC (NASHVILLE, TN)",1533,6687,1138,1219,-7.1
"JEWISH FAMILY SERVICE (NASHVILLE, TN)",1822,8114,1131,1204,-6.5
"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER  INC (NASHVILLE, TN)",1548,6781,1129,1206,-6.9
"MEASURED WELLNESS LLC (BROOKLINE, MA)",1805,7630,1129,1280,-13.4
"LIHAI MEDICAL CLINIC INC (SALT LAKE CITY, UT)",2752,12463,1128,1140,-1.1
"VITALITY WELLNESS  PLLC (NASHVILLE, TN)",1760,7673,1128,1189,-5.4
"PATRIOT URGENT CARE PROFESSIONALS PC (WALTHAM, MA)",2678,14264,1127,1463,-29.8
"UNITED NEIGHBORHOOD HEALTH SERVICES  INC (NASHVILLE, TN)",6447,28319,1125,1194,-6.1
"CONTINUUM HEALTHCARE GROUP (STRONGSVILLE, OH)",1110,4921,1122,1284,-14.4
"ASPIRE WELLNESS LLC (KINSMAN, OH)",8364,37121,1121,1289,-15.0
"IPC PAC HEALTHCARE SERVICES OF TENNESSEE PC (WHITES CREEK, TN)",3421,15226,1121,1194,-6.6
"SMARTQUEST HEALTHCARE LLC (GARFIELD HTS, OH)",3218,14262,1120,1279,-14.3
"UNIVERSITY COMMUNITY HEALTH SERVICES  INC (NASHVILLE, TN)",1847,8239,1119,1187,-6.1
"AGE OF WELLNESS LLC (BEACHWOOD, OH)",1844,8332,1118,1281,-14.6
"NASHVILLE PRIMARY CARE PLLC. (NASHVILLE, TN)",1349,5959,1118,1186,-6.1
"PROVIDENCE MEDICAL CLINIC LLC (GREENBRIER, TN)",1212,5331,1114,1191,-6.9
"WATSON PRIMARY CARE AND GENERAL ORTHOPAEDICS PLC (NASHVILLE, TN)",1562,6837,1112,1199,-7.8
"FENWAY COMMUNITY HEALTH CENTER  INC (BOSTON, MA)",3806,16000,1112,1268,-14.0
"CIRCLE HEALTH SERVICES (PARMA, OH)",8705,38524,1110,1272,-14.6
"URBAN INDIAN CENTER OF SALT LAKE (SALT LAKE CITY, UT)",1157,5187,1108,1122,-1.3
"HEALTH SPHERE WELLNESS CENTER LLC (NASHVILLE, TN)",1203,5404,1107,1167,-5.4
"KC CENTER FOR HEALTH AND WELLNESS LLC (CLEVELAND, OH)",8596,38166,1107,1265,-14.2
"WELLNESSONE OF BEDFORD  LLC (WARRENSVILLE HTS, OH)",2609,11723,1106,1269,-14.7
"FAMILY GUIDANCE CENTER INC (EUCLID, OH)",6618,29419,1106,1269,-14.7
"RIDGEPARK FAMILY PRACTICE (PARMA, OH)",10814,48252,1105,1263,-14.3
"EVOLUTIONARY HEALTHCARE LLC (SALT LAKE CITY, UT)",2885,13111,1105,1124,-1.8
"HIGHLAND WELLNESS CENTER INC (HIGHLAND HTS, OH)",4121,18271,1105,1269,-14.9
"LIFE LINE COMMUNITY HEALTHCARE (INDEPENDENCE, OH)",11142,49347,1104,1270,-15.0
"RIVER FAMILY MEDICINE LLC (EUCLID, OH)",4697,20956,1102,1263,-14.6
"WASHINGTON WELLNESS INSTITUTE LLC (CLEVELAND, OH)",14891,66285,1102,1262,-14.5
"FAMILY MEDICINE & OCCUPATIONAL HEALTH CENTER  INC. (SHAKER HTS, OH)",9853,44151,1100,1262,-14.8
"ASIAN SERVICES IN ACTION INC (CLEVELAND, OH)",8141,36204,1099,1254,-14.1
"FAMILY PODIATRY CENTER  P.C. (NASHVILLE, TN)",2675,11658,1098,1160,-5.7
"CARECENTRAL URGENT CARE MEDICAL GROUP PC (STOUGHTON, MA)",1441,6946,1097,1389,-26.5
"GLTCP HEALTH CARE SERVICES INC (WALTON HILLS, OH)",1967,8809,1097,1259,-14.8
"ABCO MEDICAL CENTER  L.L.C. (LAKEWOOD, OH)",5044,22454,1097,1260,-14.9
"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES  INC. (CLEVELAND, OH)",20734,92864,1096,1257,-14.7
"CENTRAL OUTREACH WELLNESS CENTER (CLEVELAND HEIGHTS, OH)",11590,51068,1096,1258,-14.8
"W R HEALTH CARE MANAGEMENT LLC (LYNDHURST, OH)",3008,13537,1095,1269,-15.8
"TORRENCE HANDS HEALTHCARE LLC (LAKEWOOD, OH)",2521,11310,1094,1259,-15.0
"HARBOR HEALTH SERVICES INC (DORCHESTER, MA)",5980,25333,1094,1236,-13.0
"NEURO HEALTH AND WELLNESS LLC (WARRENSVILLE HEIGHTS, OH)",2611,11737,1094,1248,-14.1
"JEWISH FAMILY SERVICE ASSOCIATION (PEPPER PIKE, OH)",1157,5369,1092,1260,-15.4
"NORTH COAST FAMILY FOUNDATION (MIDDLEBURG HTS, OH)",13936,62285,1091,1253,-14.8
"SIGNATURE HEALTH  INC. (GARFIELD HEIGHTS, OH)",5249,23103,1091,1251,-14.6
"NEW LIFE MEDICAL CENTER (FAIRVIEW PARK, OH)",4041,18140,1091,1253,-14.9
"CIRCLE HEALTH SERVICES (CLEVELAND, OH)",20704,91887,1091,1252,-14.8
"NEIGHBORHOOD HEALTH CARE INCORPORATED (CLEVELAND, OH)",27283,121391,1090,1249,-14.6
"BROWN MEDICAL CENTER  INC. (EAST CLEVELAND, OH)",1850,8390,1089,1247,-14.5
"WASATCH PRIMARY CARE PLLC (SALT LAKE CITY, UT)",1111,5053,1088,1105,-1.6
"HOUGH CENTER (CLEVELAND, OH)",10344,46631,1088,1240,-14.0
"ASC WELLNESS LLC (MAYFIELD VILLAGE, OH)",2314,10393,1087,1244,-14.4
"INTERNAL MEDICINE GROUP INC (BEDFORD, OH)",2803,12606,1087,1249,-14.9
"BOSTON PAIN CLINIC & PRIMARY CARE PC (HYDE PARK, MA)",2018,8592,1085,1243,-14.6
"COOPERATIVE MEDICAL HEALTH CARE CORPORATION PROFESSIONAL ASSOCIATION (BEREA, OH)",6880,30760,1085,1243,-14.6
"SIGNATURE HEALTH  INC. (CLEVELAND, OH)",2996,13176,1084,1240,-14.4
"WHITES CREEK CLINIC (NASHVILLE, TN)",1200,5408,1082,1163,-7.4
"NORTHEAST OHIO NEIGHBORHOOD HEALTH SERVICES  INC. (EAST CLEVELAND, OH)",2477,11115,1079,1241,-15.0
"CLEVELAND HEALTH AND WELLNESS CENTER (ROCKY RIVER, OH)",3781,16819,1078,1238,-14.8
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM INC (BOSTON, MA)",5107,21611,1076,1225,-13.8
"COMPREHENSIVE PRIMARY CARE (CLEVELAND, OH)",2747,12199,1075,1229,-14.4
"DEDHAM MEDICAL ASSOCIATES URGENT CARE CENTER LLC (NORWOOD, MA)",2485,14796,1075,1381,-28.5
"COMPLETE WELLNESS CENTER LLC (MAYFIELD VILLAGE, OH)",2290,10310,1074,1237,-15.2
"CHARLES RIVER COMMUNITY HEALTH  INC (ALLSTON, MA)",1311,5592,1074,1209,-12.6
"SOUTH BOSTON COMMUNITY HEALTH CENTER INC (SOUTH BOSTON, MA)",4719,19802,1074,1219,-13.5
"NEIGHBORHOOD HEALTH CARE INCORPORATED (LAKEWOOD, OH)",6294,27946,1070,1235,-15.4
"PRECISION HEALTHCARE INC (NASHVILLE, TN)",1216,5474,1068,1151,-7.8
"NORTH END COMMUNITY HEALTH COMMITTEE INC (BOSTON, MA)",4950,20820,1068,1213,-13.6
"BOSTON MEDICAL CENTER CORPORATION- (ROSLINDALE, MA)",2572,10914,1067,1216,-14.0
"LYNN URGENT CARE LLC (LYNN, MA)",5123,27155,1066,1359,-27.5
"WHITLEY WELLNESS LLC (CHARLESTOWN, MA)",5917,25240,1063,1210,-13.9
"AHAVA CENTER FOR HEALTH AND WELLNESS (BEACHWOOD, OH)",2293,10168,1057,1203,-13.9
"SPRY HEALTHCARE LLC (CLEVELAND, OH)",1536,6825,1056,1211,-14.6
"ENGRACE HEALTHCARE PRACTICE LLC (BROOKLINE, MA)",1113,4752,1055,1209,-14.5
"UPHAMS CORNER HEALTH COMMITTEE INC (DORCHESTER, MA)",2267,10162,1046,1186,-13.4
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM INC (JAMAICA PLAIN, MA)",1184,5083,1034,1179,-14.1
"DAVIS SQUARE FAMILY PRACTICE (SOMERVILLE, MA)",2623,11170,1033,1178,-14.0
"HALLMARK HEALTH URGENT CARE PHYSICIANS LLC (READING, MA)",1457,8014,1013,1298,-28.1
